makespan: 34
status: OPTIMAL
Machine	Job	Operation	Start	Processing	End
1	30	1	0	1	1
1	9	1	1	7	8
1	17	3	8	9	17
1	30	3	17	9	26
1	5	4	26	8	34
2	29	1	0	4	4
2	5	1	4	3	7
2	5	2	7	3	10
2	3	1	10	2	12
2	27	4	12	4	16
2	8	1	16	2	18
2	1	5	19	2	21
2	11	3	21	3	24
2	23	6	24	2	26
2	7	5	26	1	27
2	10	3	30	2	32
3	27	1	0	4	4
3	22	4	4	4	8
3	16	2	8	1	9
3	21	4	9	2	11
3	25	3	11	2	13
3	6	3	13	4	17
3	7	4	17	2	19
3	16	4	19	2	21
3	8	2	21	1	22
3	8	3	22	2	24
3	13	4	24	1	25
3	15	3	25	1	26
3	7	6	27	7	34
4	1	1	0	10	10
4	15	2	10	6	16
4	7	3	16	1	17
4	22	6	18	4	22
4	12	4	22	9	31
4	25	7	31	3	34
5	21	1	0	3	3
5	24	3	3	2	5
5	21	2	5	3	8
5	7	2	8	6	14
5	12	2	14	1	15
5	25	5	16	1	17
5	23	5	20	1	21
5	13	3	21	3	24
5	28	5	24	9	33
5	2	6	33	1	34
6	16	1	0	3	3
6	29	2	4	1	5
6	20	2	5	7	12
6	19	2	12	4	16
6	22	5	16	2	18
6	12	3	18	4	22
6	4	3	22	5	27
6	8	4	27	1	28
6	4	4	29	2	31
7	30	2	1	10	11
7	13	2	11	10	21
7	9	2	21	2	23
7	18	5	27	5	32
8	10	1	0	4	4
8	29	3	5	4	9
8	5	3	10	5	15
8	27	5	16	6	22
8	24	6	22	9	31
8	2	5	32	1	33
9	15	1	0	6	6
9	28	3	6	4	10
9	23	2	10	6	16
9	23	3	16	2	18
9	23	4	18	2	20
9	3	3	20	3	23
9	2	3	23	4	27
9	17	4	27	4	31
9	14	4	31	3	34
10	25	1	0	3	3
10	17	1	3	1	4
10	21	3	8	1	9
10	18	2	9	8	17
10	21	6	19	2	21
10	10	2	21	9	30
11	4	1	0	3	3
11	11	1	3	2	5
11	14	1	5	2	7
11	27	3	7	5	12
11	25	4	13	3	16
11	1	3	16	1	17
11	19	3	17	10	27
11	15	4	27	1	28
11	2	4	28	1	29
11	25	6	29	1	30
11	13	6	31	3	34
12	28	1	0	2	2
12	18	1	2	1	3
12	6	1	3	1	4
12	17	2	4	3	7
12	7	1	7	1	8
12	26	3	12	9	21
12	20	4	22	2	24
12	13	5	25	5	30
12	30	4	30	4	34
13	20	1	0	3	3
13	27	2	4	3	7
13	28	4	10	3	13
13	11	2	13	7	20
13	11	4	24	9	33
14	22	3	3	1	4
14	6	2	4	1	5
14	24	4	5	7	12
14	1	2	12	2	14
14	29	5	14	4	18
14	29	6	18	8	26
14	23	7	26	8	34
15	28	2	2	3	5
15	2	1	5	4	9
15	12	1	9	5	14
15	3	2	14	3	17
15	16	3	17	2	19
15	16	5	21	4	25
15	3	4	25	7	32
15	3	5	33	1	34
16	24	1	0	2	2
16	22	2	2	1	3
16	25	2	3	8	11
16	20	3	12	10	22
16	21	7	22	4	26
16	19	4	27	7	34
17	23	1	0	10	10
17	29	4	10	4	14
17	6	4	17	4	21
17	1	6	21	4	25
17	26	4	25	9	34
18	13	1	0	1	1
18	26	1	1	8	9
18	26	2	9	3	12
18	2	2	12	7	19
18	27	6	22	8	30
18	9	4	30	3	33
19	24	2	2	1	3
19	4	2	3	10	13
19	21	5	13	6	19
19	14	2	19	1	20
19	14	3	20	6	26
19	16	6	26	6	32
19	10	4	33	1	34
20	22	1	0	2	2
20	19	1	2	8	10
20	24	5	12	1	13
20	1	4	17	2	19
20	18	3	19	6	25
20	18	4	25	2	27
20	9	3	27	2	29
20	1	7	29	2	31
20	9	5	33	1	34
